sentence,frame,polarity,verb,veridicalitynorm
Someone didn\'t shock a particular person to do a particular thing.,NP V NP to VP,negative,shock,0.49184248
Someone shocked a particular person to do a particular thing.,NP V NP to VP,positive,shock,0.49184248
Someone didn\'t arrange a particular person to have a particular thing.,NP V NP to VP,negative,arrange,0.49074996
Someone arranged a particular person to have a particular thing.,NP V NP to VP,positive,arrange,0.49074996
A particular person was mentioned to have a particular thing.,NP was Ved to VP,positive,mention,0.48336956
A particular person wasn\'t mentioned to have a particular thing.,NP was Ved to VP,negative,mention,0.48336956
A particular person wasn\'t glimpsed to have a particular thing.,NP was Ved to VP,negative,glimpse,0.4832843
A particular person was glimpsed to have a particular thing.,NP was Ved to VP,positive,glimpse,0.4832843
A particular person was admitted to have a particular thing.,NP was Ved to VP,positive,admit,0.4822794
A particular person wasn\'t admitted to have a particular thing.,NP was Ved to VP,negative,admit,0.4822794
Someone didn\'t email that a particular thing happened,NP V that S,negative,email,0.48007068
Someone emailed that a particular thing happened,NP V that S,positive,email,0.48007068
A particular person was concluded to have a particular thing.,NP was Ved to VP,positive,conclude,0.4786632
A particular person wasn\'t concluded to have a particular thing.,NP was Ved to VP,negative,conclude,0.4786632
Someone didn\'t brag that a particular thing happened,NP V that S,negative,brag,0.47841993
Someone bragged that a particular thing happened,NP V that S,positive,brag,0.47841993
A particular person didn\'t bargain to do a particular thing.,NP V to VP,negative,bargain,0.47582144
A particular person bargained to do a particular thing.,NP V to VP,positive,bargain,0.47582144
A particular person didn\'t hate to do a particular thing.,NP V to VP,negative,hate,0.47517842
A particular person hated to do a particular thing.,NP V to VP,positive,hate,0.47517842
A particular person discovered to have a particular thing.,NP V to VP,positive,discover,0.4745515
A particular person didn\'t discover to have a particular thing.,NP V to VP,negative,discover,0.4745515
Someone publicized that a particular thing happened,NP V that S,positive,publicize,0.47417504
Someone didn\'t publicize that a particular thing happened,NP V that S,negative,publicize,0.47417504
Someone didn\'t coerce a particular person to have a particular thing.,NP V NP to VP,negative,coerce,0.47284314
Someone coerced a particular person to have a particular thing.,NP V NP to VP,positive,coerce,0.47284314
A particular person wasn\'t gone to do a particular thing.,NP was Ved to VP,negative,go,0.47026005
A particular person was gone to do a particular thing.,NP was Ved to VP,positive,go,0.47026005
Someone sobbed that a particular thing happened,NP V that S,positive,sob,0.46726263
Someone didn\'t sob that a particular thing happened,NP V that S,negative,sob,0.46726263
Someone was frightened that a particular thing happened,NP was Ved that S,positive,frighten,0.4671725
Someone wasn\'t frightened that a particular thing happened,NP was Ved that S,negative,frighten,0.4671725
Someone persuaded a particular person to have a particular thing.,NP V NP to VP,positive,persuade,0.46527478
Someone didn\'t persuade a particular person to have a particular thing.,NP V NP to VP,negative,persuade,0.46527478
Someone cajoled a particular person to do a particular thing.,NP V NP to VP,positive,cajole,0.46073917
Someone didn\'t cajole a particular person to do a particular thing.,NP V NP to VP,negative,cajole,0.46073917
A particular person was rediscovered to have a particular thing.,NP was Ved to VP,positive,rediscover,0.4577831
A particular person wasn\'t rediscovered to have a particular thing.,NP was Ved to VP,negative,rediscover,0.4577831
A particular person was flattered to do a particular thing.,NP was Ved to VP,positive,flatter,0.45748767
A particular person wasn\'t flattered to do a particular thing.,NP was Ved to VP,negative,flatter,0.45748767
A particular person was required to do a particular thing.,NP was Ved to VP,positive,require,0.4556404
A particular person wasn\'t required to do a particular thing.,NP was Ved to VP,negative,require,0.4556404
A particular person affirmed to have a particular thing.,NP V to VP,positive,affirm,0.4546295
A particular person didn\'t affirm to have a particular thing.,NP V to VP,negative,affirm,0.4546295
Someone willed a particular person to do a particular thing.,NP V NP to VP,positive,will,0.45347655
Someone didn\'t will a particular person to do a particular thing.,NP V NP to VP,negative,will,0.45347655
A particular person didn\'t remain to have a particular thing.,NP V to VP,negative,remain,0.4499271
A particular person remained to have a particular thing.,NP V to VP,positive,remain,0.4499271
A particular person was mandated to have a particular thing.,NP was Ved to VP,positive,mandate,0.44987068
A particular person wasn\'t mandated to have a particular thing.,NP was Ved to VP,negative,mandate,0.44987068
A particular person advertised to have a particular thing.,NP V to VP,positive,advertise,0.4490623
A particular person didn\'t advertise to have a particular thing.,NP V to VP,negative,advertise,0.4490623
Someone didn\'t prompt a particular person to do a particular thing.,NP V NP to VP,negative,prompt,0.44852296
Someone prompted a particular person to do a particular thing.,NP V NP to VP,positive,prompt,0.44852296
A particular person didn\'t begin to have a particular thing.,NP V to VP,negative,begin,0.444634
A particular person began to have a particular thing.,NP V to VP,positive,begin,0.444634
Someone wasn\'t shown that a particular thing happened,NP was Ved that S,negative,show,0.43645558
Someone was shown that a particular thing happened,NP was Ved that S,positive,show,0.43645558
Someone didn\'t whimper that a particular thing happened,NP V that S,negative,whimper,0.43482694
Someone whimpered that a particular thing happened,NP V that S,positive,whimper,0.43482694
Someone didn\'t guarantee a particular person to have a particular thing.,NP V NP to VP,negative,guarantee,0.4331236
Someone guaranteed a particular person to have a particular thing.,NP V NP to VP,positive,guarantee,0.4331236
Someone didn\'t recall a particular person to have a particular thing.,NP V NP to VP,negative,recall,0.43080163
Someone recalled a particular person to have a particular thing.,NP V NP to VP,positive,recall,0.43080163
A particular person wasn\'t pressed to do a particular thing.,NP was Ved to VP,negative,press,0.4275497
A particular person was pressed to do a particular thing.,NP was Ved to VP,positive,press,0.4275497
Someone didn\'t concede that a particular thing happened,NP V that S,negative,concede,0.42111433
Someone conceded that a particular thing happened,NP V that S,positive,concede,0.42111433
A particular person wasn\'t enlightened to do a particular thing.,NP was Ved to VP,negative,enlighten,0.4160655
A particular person was enlightened to do a particular thing.,NP was Ved to VP,positive,enlighten,0.4160655
Someone didn\'t bribe a particular person to have a particular thing.,NP V NP to VP,negative,bribe,0.41492063
Someone bribed a particular person to have a particular thing.,NP V NP to VP,positive,bribe,0.41492063
A particular person wasn\'t led to do a particular thing.,NP was Ved to VP,negative,lead,0.4137432
A particular person was led to do a particular thing.,NP was Ved to VP,positive,lead,0.4137432
Someone instructed a particular person to have a particular thing.,NP V NP to VP,positive,instruct,0.410683
Someone didn\'t instruct a particular person to have a particular thing.,NP V NP to VP,negative,instruct,0.410683
A particular person was persuaded to have a particular thing.,NP was Ved to VP,positive,persuade,0.40948212
A particular person wasn\'t persuaded to have a particular thing.,NP was Ved to VP,negative,persuade,0.40948212
Someone identified that a particular thing happened,NP V that S,positive,identify,0.4084151
Someone didn\'t identify that a particular thing happened,NP V that S,negative,identify,0.4084151
Someone didn\'t expose that a particular thing happened,NP V that S,negative,expose,0.40545732
Someone exposed that a particular thing happened,NP V that S,positive,expose,0.40545732
Someone admitted that a particular thing happened,NP V that S,positive,admit,0.40517232
Someone didn\'t admit that a particular thing happened,NP V that S,negative,admit,0.40517232
A particular person dreaded to do a particular thing.,NP V to VP,positive,dread,0.40487435
A particular person didn\'t dread to do a particular thing.,NP V to VP,negative,dread,0.40487435
A particular person didn\'t trigger to do a particular thing.,NP V to VP,negative,trigger,0.40377402
A particular person triggered to do a particular thing.,NP V to VP,positive,trigger,0.40377402
A particular person wasn\'t obliged to do a particular thing.,NP was Ved to VP,negative,oblige,0.4021878
A particular person was obliged to do a particular thing.,NP was Ved to VP,positive,oblige,0.4021878
A particular person wasn\'t marked to have a particular thing.,NP was Ved to VP,negative,mark,0.40195417
A particular person was marked to have a particular thing.,NP was Ved to VP,positive,mark,0.40195417
A particular person agonized to do a particular thing.,NP V to VP,positive,agonize,0.40142247
A particular person didn\'t agonize to do a particular thing.,NP V to VP,negative,agonize,0.40142247
A particular person didn\'t continue to have a particular thing.,NP V to VP,negative,continue,0.40075344
A particular person continued to have a particular thing.,NP V to VP,positive,continue,0.40075344
A particular person signed on to do a particular thing.,NP V to VP,positive,sign_on,0.39331463
A particular person didn\'t sign on to do a particular thing.,NP V to VP,negative,sign_on,0.39331463
A particular person was okayed to do a particular thing.,NP was Ved to VP,positive,okay,0.38568664
A particular person wasn\'t okayed to do a particular thing.,NP was Ved to VP,negative,okay,0.38568664
Someone didn\'t record that a particular thing happened,NP V that S,negative,record,0.38543046
Someone recorded that a particular thing happened,NP V that S,positive,record,0.38543046
Someone didn\'t convey that a particular thing happened,NP V that S,negative,convey,0.3843889
Someone conveyed that a particular thing happened,NP V that S,positive,convey,0.3843889
A particular person ceased to have a particular thing.,NP V to VP,positive,cease,0.38433844
A particular person didn\'t cease to have a particular thing.,NP V to VP,negative,cease,0.38433844
A particular person didn\'t sign on to have a particular thing.,NP V to VP,negative,sign_on,0.38428247
A particular person signed on to have a particular thing.,NP V to VP,positive,sign_on,0.38428247
A particular person was ordained to have a particular thing.,NP was Ved to VP,positive,ordain,0.3826949
A particular person wasn\'t ordained to have a particular thing.,NP was Ved to VP,negative,ordain,0.3826949
Someone bullied a particular person to have a particular thing.,NP V NP to VP,positive,bully,0.3825338
Someone didn\'t bully a particular person to have a particular thing.,NP V NP to VP,negative,bully,0.3825338
Someone contracted a particular person to do a particular thing.,NP V NP to VP,positive,contract,0.3807767
Someone didn\'t contract a particular person to do a particular thing.,NP V NP to VP,negative,contract,0.3807767
A particular person was tortured to do a particular thing.,NP was Ved to VP,positive,torture,0.3803564
A particular person wasn\'t tortured to do a particular thing.,NP was Ved to VP,negative,torture,0.3803564
Someone compelled a particular person to have a particular thing.,NP V NP to VP,positive,compel,0.37893438
Someone didn\'t compel a particular person to have a particular thing.,NP V NP to VP,negative,compel,0.37893438
A particular person didn\'t affirm to do a particular thing.,NP V to VP,negative,affirm,0.37500334
A particular person affirmed to do a particular thing.,NP V to VP,positive,affirm,0.37500334
Someone wasn\'t signalled that a particular thing happened,NP was Ved that S,negative,signal,0.37264523
Someone was signalled that a particular thing happened,NP was Ved that S,positive,signal,0.37264523
Someone didn\'t detect that a particular thing happened,NP V that S,negative,detect,0.3707412
Someone detected that a particular thing happened,NP V that S,positive,detect,0.3707412
A particular person didn\'t fuss to have a particular thing.,NP V to VP,negative,fuss,0.3693511
A particular person fussed to have a particular thing.,NP V to VP,positive,fuss,0.3693511
A particular person was insisted to have a particular thing.,NP was Ved to VP,positive,insist,0.36823592
A particular person wasn\'t insisted to have a particular thing.,NP was Ved to VP,negative,insist,0.36823592
Someone didn\'t annoy a particular person to do a particular thing.,NP V NP to VP,negative,annoy,0.36627856
Someone annoyed a particular person to do a particular thing.,NP V NP to VP,positive,annoy,0.36627856
Someone wasn\'t encouraged that a particular thing happened,NP was Ved that S,negative,encourage,0.3641109
Someone was encouraged that a particular thing happened,NP was Ved that S,positive,encourage,0.3641109
A particular person was hounded to do a particular thing.,NP was Ved to VP,positive,hound,0.36254817
A particular person wasn\'t hounded to do a particular thing.,NP was Ved to VP,negative,hound,0.36254817
A particular person was supposed to do a particular thing.,NP was Ved to VP,positive,suppose,0.3600235
A particular person wasn\'t supposed to do a particular thing.,NP was Ved to VP,negative,suppose,0.3600235
Someone wasn\'t told that a particular thing happened,NP was Ved that S,negative,tell,0.35933033
Someone was told that a particular thing happened,NP was Ved that S,positive,tell,0.35933033
Someone addressed that a particular thing happened,NP V that S,positive,address,0.35902062
Someone didn\'t address that a particular thing happened,NP V that S,negative,address,0.35902062
A particular person elected to have a particular thing.,NP V to VP,positive,elect,0.35817552
A particular person didn\'t elect to have a particular thing.,NP V to VP,negative,elect,0.35817552
Someone didn\'t charge a particular person to have a particular thing.,NP V NP to VP,negative,charge,0.3578786
Someone charged a particular person to have a particular thing.,NP V NP to VP,positive,charge,0.3578786
Someone inspired a particular person to do a particular thing.,NP V NP to VP,positive,inspire,0.35168722
Someone didn\'t inspire a particular person to do a particular thing.,NP V NP to VP,negative,inspire,0.35168722
Someone didn\'t plan for a particular thing to happen.,NP V for NP to VP,negative,plan,0.35075882
Someone planned for a particular thing to happen.,NP V for NP to VP,positive,plan,0.35075882
Someone didn\'t stop for a particular thing to happen.,NP V for NP to VP,negative,stop,0.35069218
Someone stopped for a particular thing to happen.,NP V for NP to VP,positive,stop,0.35069218
A particular person didn\'t acknowledge to do a particular thing.,NP V to VP,negative,acknowledge,0.3488562
A particular person acknowledged to do a particular thing.,NP V to VP,positive,acknowledge,0.3488562
A particular person wasn\'t understood to do a particular thing.,NP was Ved to VP,negative,understand,0.3474537
A particular person was understood to do a particular thing.,NP was Ved to VP,positive,understand,0.3474537
Someone okayed that a particular thing happened,NP V that S,positive,okay,0.34576777
Someone didn\'t okay that a particular thing happened,NP V that S,negative,okay,0.34576777
A particular person was enthused to do a particular thing.,NP was Ved to VP,positive,enthuse,0.34347382
A particular person wasn\'t enthused to do a particular thing.,NP was Ved to VP,negative,enthuse,0.34347382
Someone didn\'t discuss that a particular thing happened,NP V that S,negative,discuss,0.34307683
Someone discussed that a particular thing happened,NP V that S,positive,discuss,0.34307683
A particular person was decreed to have a particular thing.,NP was Ved to VP,positive,decree,0.34253412
A particular person wasn\'t decreed to have a particular thing.,NP was Ved to VP,negative,decree,0.34253412
A particular person was coached to have a particular thing.,NP was Ved to VP,positive,coach,0.34210166
A particular person wasn\'t coached to have a particular thing.,NP was Ved to VP,negative,coach,0.34210166
Someone didn\'t moan that a particular thing happened,NP V that S,negative,moan,0.34200585
Someone moaned that a particular thing happened,NP V that S,positive,moan,0.34200585
Someone opted a particular person to do a particular thing.,NP V NP to VP,positive,opt,0.34096134
Someone didn\'t opt a particular person to do a particular thing.,NP V NP to VP,negative,opt,0.34096134
A particular person was quoted to do a particular thing.,NP was Ved to VP,positive,quote,0.3380212
A particular person wasn\'t quoted to do a particular thing.,NP was Ved to VP,negative,quote,0.3380212
A particular person was invigorated to do a particular thing.,NP was Ved to VP,positive,invigorate,0.33787203
A particular person wasn\'t invigorated to do a particular thing.,NP was Ved to VP,negative,invigorate,0.33787203
A particular person didn\'t announce to have a particular thing.,NP V to VP,negative,announce,0.33777705
A particular person announced to have a particular thing.,NP V to VP,positive,announce,0.33777705
Someone didn\'t rave that a particular thing happened,NP V that S,negative,rave,0.33644608
Someone raved that a particular thing happened,NP V that S,positive,rave,0.33644608
Someone prepared for a particular thing to happen.,NP V for NP to VP,positive,prepare,0.3345155
Someone didn\'t prepare for a particular thing to happen.,NP V for NP to VP,negative,prepare,0.3345155
A particular person willed to do a particular thing.,NP V to VP,positive,will,0.33354872
A particular person didn\'t will to do a particular thing.,NP V to VP,negative,will,0.33354872
Someone fretted that a particular thing happened,NP V that S,positive,fret,0.3327978
Someone didn\'t fret that a particular thing happened,NP V that S,negative,fret,0.3327978
Someone was obsessed that a particular thing happened,NP was Ved that S,positive,obsess,0.32980958
Someone wasn\'t obsessed that a particular thing happened,NP was Ved that S,negative,obsess,0.32980958
Someone didn\'t confide that a particular thing happened,NP V that S,negative,confide,0.32941326
Someone confided that a particular thing happened,NP V that S,positive,confide,0.32941326
A particular person was identified to have a particular thing.,NP was Ved to VP,positive,identify,0.32938498
A particular person wasn\'t identified to have a particular thing.,NP was Ved to VP,negative,identify,0.32938498
Someone didn\'t voice that a particular thing happened,NP V that S,negative,voice,0.32925645
Someone voiced that a particular thing happened,NP V that S,positive,voice,0.32925645
Someone didn\'t despair that a particular thing happened,NP V that S,negative,despair,0.32594776
Someone despaired that a particular thing happened,NP V that S,positive,despair,0.32594776
A particular person was curst to do a particular thing.,NP was Ved to VP,positive,curse,0.31723723
A particular person wasn\'t curst to do a particular thing.,NP was Ved to VP,negative,curse,0.31723723
A particular person was acknowledged to have a particular thing.,NP was Ved to VP,positive,acknowledge,0.3172257
A particular person wasn\'t acknowledged to have a particular thing.,NP was Ved to VP,negative,acknowledge,0.3172257
A particular person wasn\'t cajoled to have a particular thing.,NP was Ved to VP,negative,cajole,0.31563866
A particular person was cajoled to have a particular thing.,NP was Ved to VP,positive,cajole,0.31563866
A particular person didn\'t remember to have a particular thing.,NP V to VP,negative,remember,0.31461325
A particular person remembered to have a particular thing.,NP V to VP,positive,remember,0.31461325
Someone didn\'t verify that a particular thing happened,NP V that S,negative,verify,0.31434044
Someone verified that a particular thing happened,NP V that S,positive,verify,0.31434044
A particular person excited to do a particular thing.,NP V to VP,positive,excite,0.31424543
A particular person didn\'t excite to do a particular thing.,NP V to VP,negative,excite,0.31424543
Someone doubted a particular person to have a particular thing.,NP V NP to VP,positive,doubt,0.3105622
Someone didn\'t doubt a particular person to have a particular thing.,NP V NP to VP,negative,doubt,0.3105622
A particular person wasn\'t induced to have a particular thing.,NP was Ved to VP,negative,induce,0.30898565
A particular person was induced to have a particular thing.,NP was Ved to VP,positive,induce,0.30898565
Someone identified a particular person to have a particular thing.,NP V NP to VP,positive,identify,0.30737308
Someone didn\'t identify a particular person to have a particular thing.,NP V NP to VP,negative,identify,0.30737308
Someone wasn\'t emailed that a particular thing happened,NP was Ved that S,negative,email,0.30184257
Someone was emailed that a particular thing happened,NP was Ved that S,positive,email,0.30184257
Someone accredited a particular person to have a particular thing.,NP V NP to VP,positive,accredit,0.2989113
Someone didn\'t accredit a particular person to have a particular thing.,NP V NP to VP,negative,accredit,0.2989113
Someone didn\'t charge a particular person to do a particular thing.,NP V NP to VP,negative,charge,0.29816943
Someone charged a particular person to do a particular thing.,NP V NP to VP,positive,charge,0.29816943
A particular person was contracted to do a particular thing.,NP was Ved to VP,positive,contract,0.29604217
A particular person wasn\'t contracted to do a particular thing.,NP was Ved to VP,negative,contract,0.29604217
Someone didn\'t back a particular person to do a particular thing.,NP V NP to VP,negative,back,0.28255945
Someone backed a particular person to do a particular thing.,NP V NP to VP,positive,back,0.28255945
Someone didn\'t uncover that a particular thing happened,NP V that S,negative,uncover,0.2824694
Someone uncovered that a particular thing happened,NP V that S,positive,uncover,0.2824694
Someone didn\'t afford for a particular thing to happen.,NP V for NP to VP,negative,afford,0.2797541
Someone afforded for a particular thing to happen.,NP V for NP to VP,positive,afford,0.2797541
A particular person didn\'t rush to have a particular thing.,NP V to VP,negative,rush,0.27955377
A particular person rushed to have a particular thing.,NP V to VP,positive,rush,0.27955377
A particular person was supposed to have a particular thing.,NP was Ved to VP,positive,suppose,0.27936068
A particular person wasn\'t supposed to have a particular thing.,NP was Ved to VP,negative,suppose,0.27936068
A particular person was viewed to have a particular thing.,NP was Ved to VP,positive,view,0.27783906
A particular person wasn\'t viewed to have a particular thing.,NP was Ved to VP,negative,view,0.27783906
Someone didn\'t radio that a particular thing happened,NP V that S,negative,radio,0.27692908
Someone radioed that a particular thing happened,NP V that S,positive,radio,0.27692908
A particular person wasn\'t instructed to have a particular thing.,NP was Ved to VP,negative,instruct,0.27614248
A particular person was instructed to have a particular thing.,NP was Ved to VP,positive,instruct,0.27614248
Someone broadcasted that a particular thing happened,NP V that S,positive,broadcast,0.27607107
Someone didn\'t broadcast that a particular thing happened,NP V that S,negative,broadcast,0.27607107
A particular person didn\'t intend to do a particular thing.,NP V to VP,negative,intend,0.27321705
A particular person intended to do a particular thing.,NP V to VP,positive,intend,0.27321705
Someone expected for a particular thing to happen.,NP V for NP to VP,positive,expect,0.2722023
Someone didn\'t expect for a particular thing to happen.,NP V for NP to VP,negative,expect,0.2722023
A particular person didn\'t appear to have a particular thing.,NP V to VP,negative,appear,0.27106473
A particular person appeared to have a particular thing.,NP V to VP,positive,appear,0.27106473
A particular person didn\'t agree to have a particular thing.,NP V to VP,negative,agree,0.27002642
A particular person agreed to have a particular thing.,NP V to VP,positive,agree,0.27002642
A particular person didn\'t commence to do a particular thing.,NP V to VP,negative,commence,0.26804876
A particular person commenced to do a particular thing.,NP V to VP,positive,commence,0.26804876
A particular person conceded to have a particular thing.,NP V to VP,positive,concede,0.2635582
A particular person didn\'t concede to have a particular thing.,NP V to VP,negative,concede,0.2635582
A particular person wasn\'t scared to have a particular thing.,NP was Ved to VP,negative,scare,0.26252598
A particular person was scared to have a particular thing.,NP was Ved to VP,positive,scare,0.26252598
A particular person didn\'t fear to do a particular thing.,NP V to VP,negative,fear,0.2607475
A particular person feared to do a particular thing.,NP V to VP,positive,fear,0.2607475
Someone didn\'t confess that a particular thing happened,NP V that S,negative,confess,0.26039422
Someone confessed that a particular thing happened,NP V that S,positive,confess,0.26039422
Someone didn\'t see that a particular thing happened,NP V that S,negative,see,0.25954938
Someone saw that a particular thing happened,NP V that S,positive,see,0.25954938
Someone terrorized a particular person to do a particular thing.,NP V NP to VP,positive,terrorize,0.25928873
Someone didn\'t terrorize a particular person to do a particular thing.,NP V NP to VP,negative,terrorize,0.25928873
Someone pressured a particular person to do a particular thing.,NP V NP to VP,positive,pressure,0.25792807
Someone didn\'t pressure a particular person to do a particular thing.,NP V NP to VP,negative,pressure,0.25792807
Someone didn\'t boast that a particular thing happened,NP V that S,negative,boast,0.25599968
Someone boasted that a particular thing happened,NP V that S,positive,boast,0.25599968
A particular person wasn\'t taunted to do a particular thing.,NP was Ved to VP,negative,taunt,0.25391337
A particular person was taunted to do a particular thing.,NP was Ved to VP,positive,taunt,0.25391337
Someone didn\'t emphasize that a particular thing happened,NP V that S,negative,emphasize,0.2526277
Someone emphasized that a particular thing happened,NP V that S,positive,emphasize,0.2526277
A particular person wasn\'t known to have a particular thing.,NP was Ved to VP,negative,know,0.2517887
A particular person was known to have a particular thing.,NP was Ved to VP,positive,know,0.2517887
A particular person wasn\'t obligated to do a particular thing.,NP was Ved to VP,negative,obligate,0.2517705
A particular person was obligated to do a particular thing.,NP was Ved to VP,positive,obligate,0.2517705
A particular person was made to have a particular thing.,NP was Ved to VP,positive,make,0.25053528
A particular person wasn\'t made to have a particular thing.,NP was Ved to VP,negative,make,0.25053528
A particular person was tormented to do a particular thing.,NP was Ved to VP,positive,torment,0.24881299
A particular person wasn\'t tormented to do a particular thing.,NP was Ved to VP,negative,torment,0.24881299
Someone wasn\'t alerted that a particular thing happened,NP was Ved that S,negative,alert,0.24674538
Someone was alerted that a particular thing happened,NP was Ved that S,positive,alert,0.24674538
Someone didn\'t summarize that a particular thing happened,NP V that S,negative,summarize,0.24510713
Someone summarized that a particular thing happened,NP V that S,positive,summarize,0.24510713
A particular person didn\'t forget to do a particular thing.,NP V to VP,negative,forget,0.2396761
A particular person forgot to do a particular thing.,NP V to VP,positive,forget,0.2396761
Someone didn\'t designate for a particular thing to happen.,NP V for NP to VP,negative,designate,0.23702206
Someone designated for a particular thing to happen.,NP V for NP to VP,positive,designate,0.23702206
A particular person was certified to do a particular thing.,NP was Ved to VP,positive,certify,0.22659434
A particular person wasn\'t certified to do a particular thing.,NP was Ved to VP,negative,certify,0.22659434
Someone didn\'t show that a particular thing happened,NP V that S,negative,show,0.22386
Someone showed that a particular thing happened,NP V that S,positive,show,0.22386
Someone related that a particular thing happened,NP V that S,positive,relate,0.22079735
Someone didn\'t relate that a particular thing happened,NP V that S,negative,relate,0.22079735
Someone pinpointed that a particular thing happened,NP V that S,positive,pinpoint,0.22074215
Someone didn\'t pinpoint that a particular thing happened,NP V that S,negative,pinpoint,0.22074215
A particular person shut up to do a particular thing.,NP V to VP,positive,shut_up,0.21410221
A particular person didn\'t shut up to do a particular thing.,NP V to VP,negative,shut_up,0.21410221
Someone answered that a particular thing happened,NP V that S,positive,answer,0.2128386
Someone didn\'t answer that a particular thing happened,NP V that S,negative,answer,0.2128386
A particular person wasn\'t insured to do a particular thing.,NP was Ved to VP,negative,insure,0.21109834
A particular person was insured to do a particular thing.,NP was Ved to VP,positive,insure,0.21109834
Someone influenced a particular person to have a particular thing.,NP V NP to VP,positive,influence,0.21015352
Someone didn\'t influence a particular person to have a particular thing.,NP V NP to VP,negative,influence,0.21015352
A particular person was blamed to have a particular thing.,NP was Ved to VP,positive,blame,0.20245469
A particular person wasn\'t blamed to have a particular thing.,NP was Ved to VP,negative,blame,0.20245469
Someone didn\'t read that a particular thing happened,NP V that S,negative,read,0.20049876
Someone read that a particular thing happened,NP V that S,positive,read,0.20049876
A particular person was appeased to do a particular thing.,NP was Ved to VP,positive,appease,0.19954212
A particular person wasn\'t appeased to do a particular thing.,NP was Ved to VP,negative,appease,0.19954212
Someone harassed a particular person to do a particular thing.,NP V NP to VP,positive,harass,0.19927055
Someone didn\'t harass a particular person to do a particular thing.,NP V NP to VP,negative,harass,0.19927055
A particular person was signed on to have a particular thing.,NP was Ved to VP,positive,sign_on,0.19897057
A particular person wasn\'t signed on to have a particular thing.,NP was Ved to VP,negative,sign_on,0.19897057
A particular person wasn\'t recognized to have a particular thing.,NP was Ved to VP,negative,recognize,0.19802144
A particular person was recognized to have a particular thing.,NP was Ved to VP,positive,recognize,0.19802144
A particular person expected to do a particular thing.,NP V to VP,positive,expect,0.19435906
A particular person didn\'t expect to do a particular thing.,NP V to VP,negative,expect,0.19435906
A particular person wasn\'t influenced to do a particular thing.,NP was Ved to VP,negative,influence,0.1899178
A particular person was influenced to do a particular thing.,NP was Ved to VP,positive,influence,0.1899178
A particular person proclaimed to have a particular thing.,NP V to VP,positive,proclaim,0.18920852
A particular person didn\'t proclaim to have a particular thing.,NP V to VP,negative,proclaim,0.18920852
Someone didn\'t opt for a particular thing to happen.,NP V for NP to VP,negative,opt,0.18920738
Someone opted for a particular thing to happen.,NP V for NP to VP,positive,opt,0.18920738
Someone didn\'t persuade a particular person to do a particular thing.,NP V NP to VP,negative,persuade,0.18684028
Someone persuaded a particular person to do a particular thing.,NP V NP to VP,positive,persuade,0.18684028
Someone didn\'t rule for a particular thing to happen.,NP V for NP to VP,negative,rule,0.18619728
Someone ruled for a particular thing to happen.,NP V for NP to VP,positive,rule,0.18619728
A particular person was regarded to have a particular thing.,NP was Ved to VP,positive,regard,0.18527064
A particular person wasn\'t regarded to have a particular thing.,NP was Ved to VP,negative,regard,0.18527064
Someone didn\'t consent for a particular thing to happen.,NP V for NP to VP,negative,consent,0.1851857
Someone consented for a particular thing to happen.,NP V for NP to VP,positive,consent,0.1851857
A particular person didn\'t swear to have a particular thing.,NP V to VP,negative,swear,0.18414038
A particular person swore to have a particular thing.,NP V to VP,positive,swear,0.18414038
Someone required a particular person to do a particular thing.,NP V NP to VP,positive,require,0.18342596
Someone didn\'t require a particular person to do a particular thing.,NP V NP to VP,negative,require,0.18342596
A particular person was petrified to do a particular thing.,NP was Ved to VP,positive,petrify,0.18237925
A particular person wasn\'t petrified to do a particular thing.,NP was Ved to VP,negative,petrify,0.18237925
A particular person didn\'t signal to have a particular thing.,NP V to VP,negative,signal,0.18213557
A particular person signalled to have a particular thing.,NP V to VP,positive,signal,0.18213557
A particular person was aroused to do a particular thing.,NP was Ved to VP,positive,arouse,0.18011962
A particular person wasn\'t aroused to do a particular thing.,NP was Ved to VP,negative,arouse,0.18011962
A particular person reasoned to do a particular thing.,NP V to VP,positive,reason,0.17912899
A particular person didn\'t reason to do a particular thing.,NP V to VP,negative,reason,0.17912899
Someone didn\'t perceive a particular person to do a particular thing.,NP V NP to VP,negative,perceive,0.17884661
Someone perceived a particular person to do a particular thing.,NP V NP to VP,positive,perceive,0.17884661
A particular person wasn\'t certified to have a particular thing.,NP was Ved to VP,negative,certify,0.17867686
A particular person was certified to have a particular thing.,NP was Ved to VP,positive,certify,0.17867686
A particular person ceased to do a particular thing.,NP V to VP,positive,cease,0.17837851
A particular person didn\'t cease to do a particular thing.,NP V to VP,negative,cease,0.17837851
A particular person wasn\'t upheld to do a particular thing.,NP was Ved to VP,negative,uphold,0.17761199
A particular person was upheld to do a particular thing.,NP was Ved to VP,positive,uphold,0.17761199
A particular person didn\'t get to have a particular thing.,NP V to VP,negative,get,0.17039354
A particular person got to have a particular thing.,NP V to VP,positive,get,0.17039354
Someone diagnosed that a particular thing happened,NP V that S,positive,diagnose,0.17018102
Someone didn\'t diagnose that a particular thing happened,NP V that S,negative,diagnose,0.17018102
Someone didn\'t command for a particular thing to happen.,NP V for NP to VP,negative,command,0.16933127
Someone commanded for a particular thing to happen.,NP V for NP to VP,positive,command,0.16933127
A particular person didn\'t lie to have a particular thing.,NP V to VP,negative,lie,0.16798094
